Region,Q1,Q2,Q3,Q4,Q5,Q6:1,Q6:2,Q6:3,Q6:4,Q6:5,Q6:6,Q7:1,Q7:2,Q7:3,Q7:4,Q7:5,Q7:6,Q8,Q9,Q9a,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q16a,Q16b,Q16c,Q16d,Q17,Q18,Q19,Q20:1,Q20:2,Q20:3,Q20:4,Q21,Q21a,Q21b,Q21c,Q21d,Q21e,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q28a,Q28b,Q28c,Q28d,Q29,Q29a,Q29b,Q29c,Q29d,Q29e,Q29f,Q29g,Q29h,Q29i,Q29j,Q29k,Q30,Q31,Q32:1,Q32:2,Q32:3,Q32:4,Q32:5,Q32:6,Q32:7,Q32:8,Q33:1,Q33:2,Q33:3,Q33:4,Q33:5,Q33:6,Q34,Q35,Q36,PosNeg,ServiceArea
Inner South,3 to 5 years,Arabic,Migrant (not born in Australia),30-39,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Yes,Fairly satisfied,,Fairly satisfied,Yes,Fairly satisfied,Very satisfied,Yes,Yes,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Yes,,,By phone,,Very satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,No,,Fairly satisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,Not a problem at all,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Minor problem,Yes,Yes,,,Family care responsibilities,,,,,,Activities for children and young people,,,,,,Fairly satisfied,Fairly satisfied,,,
Inner West,6 to 10 years,English,Migrant (not born in Australia),60-69,Yes ,Repairs and maintenance,,Rent,Residency transfer,,,By phone,,,By email,,,No,Very dissatisfied,Very dissatisfied,Very dissatisfied,Yes,Very dissatisfied,Very dissatisfied,Yes,Yes,Fairly satisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Yes,Via email,,By phone,,Fairly satisfied,Fairly dissatisfied,Very dissatisfied,Fairly satisfied,Fairly satisfied,Very dissatisfied,Very dissatisfied,No,,Very dissatisfied,Very satisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Very satisfied,Fairly satisfied,Not a problem at all,Major problem,Major problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Major problem,Not a problem at all,Minor problem,No,No,,,,,,No feedback received or lack of action,,,,,,Helping to share future programs for residents,Social activities,,Very dissatisfied,Very dissatisfied,"I have problems with Maintenance in regards to fixing things in apartment. I email the problems but I am just ignored I have emails as evidence and also the way they respond. They don’t very really even complaint and no one responded in complaint either. I have never experienced this kind of treatment in my life, and I don’t mind if you give them my name because I am telling the truth. I would really like to speak to somebody to tell them what’s really happening and a manager that’s looking after this building disaster.",Negative,Repairs - contact/communication
East,Less than a year,English,Born in Australia (not Aboriginal or Torres Strait Islander),50-59,Yes ,Repairs and maintenance,,,,,Other,By phone,,,By email,,,No,Very dissatisfied,Very dissatisfied,Very dissatisfied,Yes,Very dissatisfied,Very dissatisfied,Yes,Yes,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Yes,Via email,,By phone,,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,No,,Very dissatisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Fairly satisfied,Fairly dissatisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Major problem,Not a problem at all,Minor problem,Not a problem at all,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,No,No,,,,,,No feedback received or lack of action,,,,,,,,,Very dissatisfied,Very dissatisfied,You have totally stuffed everything up.,Negative,Housing services
East,1 to 2 years,English,Migrant (not born in Australia),40-49,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Yes,Very satisfied,Very satisfied,Fairly satisfied,Yes,Fairly satisfied,Fairly satisfied,Unsure,No ,,,,,,,Very satisfied,No,,,,,,,,,,,,,,Fairly satisfied,Very satisfied,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Not a problem at all,,Minor problem,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,No,No,,,,,,,,Lack of interest,,,,,Social activities,,Neither satisfied nor dissatisfied,Fairly satisfied,,,
Inner South,More than 10 years,English,Migrant (not born in Australia),70-79,Yes ,Repairs and maintenance,,Rent,,,Other,,In person,,,,,Yes,Neither satisfied nor dissatisfied,Fairly satisfied,Fairly satisfied,Yes,Fairly satisfied,Very satisfied,Yes,Yes,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Yes,,,By phone,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Major problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Yes,Yes,,,,,,,,,,,,Helping to share future programs for residents,Social activities,,Neither satisfied nor dissatisfied,Fairly satisfied,"The rubbish is a constant problem here, people leave rubbish bags outside lifts and on the sidewalk. There is always overflowing bins and rubbish on the floor and all sort of hard rubbish in the bin room.  I believe there are rats breeding there, After living here for 10 years I discovered rat droppings in my unit,  which has been detrimental to my quality of life. Even though the situation is under control at the moment, I believe that until the rubbish situation is resolved it will be difficult to exterminate the rats.",Negative,Neighbourhood - bins/recycling
North,1 to 2 years,English,None of the above,40-49,Yes ,,,Rent,,,,By phone,,,,,,Yes,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Unsure,No ,,,,,,,Very satisfied,No,,,,,,,,,,,,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Major problem,Not a problem at all,Not a problem at all,Unsure,Unsure,,,,,,No feedback received or lack of action,,,,Employment opportunities,,,,,Fairly satisfied,Very satisfied,There’s always that one resident from Housing that ruins everything for HousingFirst tenants and private tenants.I think action should be taken appropriately against those kind of tenants. They've been given such nice places and they still manage to ruin it.,Negative,Neighbour issues/disputes
East,6 to 10 years,English,Migrant (not born in Australia),70-79,Yes ,,,,,,Other,,,,By email,,,Yes,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Very satisfied,No,,,,,,,,,,,,,,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Yes,Yes,,,,,,,,Lack of interest,,,,,,,Fairly satisfied,Fairly satisfied,"No heating for 5 weeks last winter. Unable to shower for 10 days due to work! Remote for a/c broken by Tradie, no replacement available.",Negative,Repairs - time
Inner South,More than 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),60-69,Yes ,,,Rent,,,,By phone,,,,,,Yes,Very satisfied,Fairly satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Very satisfied,Yes,,,By phone,,Very satisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Fairly satisfied,No,,Very satisfied,Very satisfied,Fairly satisfied,Very satisfied,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Major problem,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Minor problem,Minor problem,Not a problem at all,Major problem,Not a problem at all,Not a problem at all,Yes,Yes,,,,Times/day of meetings,,,,,,,Training opportunities,,,,Fairly satisfied,Very satisfied,Bin room often overwhelmed with rubbish,Negative,Neighbourhood - bins/recycling
East,6 to 10 years,English,Migrant (not born in Australia),70-79,Yes ,Repairs and maintenance,,,,,,By phone,In person,,,,,No,Very dissatisfied,Very dissatisfied,Very dissatisfied,Yes,Fairly dissatisfied,Fairly satisfied,Yes,Yes,Fairly satisfied,Fairly dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Fairly satisfied,Yes,,,,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Fairly dissatisfied,Fairly dissatisfied,Fairly dissatisfied,Fairly satisfied,Very dissatisfied,No,,Neither satisfied nor dissatisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Very dissatisfied,Fairly satisfied,Very satisfied,Neither satisfied nor dissatisfied,Major problem,Major problem,,,,,Major problem,Major problem,,Major problem,,,Yes,Yes,,,,Times/day of meetings,,,,,,,,,,Other,Very dissatisfied,Fairly dissatisfied,"I use to feel secure, however due to the lack of repairs to the garage car park door, my car was broken in 5 times in one week and my report to management and maintenance did fall on deaf ears. Concerns raised in person to the new Ashwood office manager was responded in an arrogant, patronising and threatening manner. Housing First is not the entity it use to be.",Negative,Housing services - customer service
Inner South,6 to 10 years,Other,Migrant (not born in Australia),60-69,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Yes,Fairly satisfied,,Fairly satisfied,Yes,Fairly satisfied,Fairly satisfied,Yes,No ,,,,,,,Fairly satisfied,Yes,,,,,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,No,,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Minor problem,Minor problem,Minor problem,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Yes,Yes,,,,,,,Language barrier,,,,,,,Other,Fairly satisfied,Fairly satisfied,,,
East,Less than a year,English,Migrant (not born in Australia),40-49,Yes ,Repairs and maintenance,,Rent,,,,By phone,,,By email,,,No,Very dissatisfied,Very dissatisfied,Very dissatisfied,Unsure,Neither satisfied nor dissatisfied,Very dissatisfied,Yes,Yes,Fairly satisfied,Fairly dissatisfied,Fairly satisfied,Fairly dissatisfied,Very dissatisfied,Very dissatisfied,Fairly satisfied,Yes,Via email,,By phone,Other,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Very satisfied,Fairly satisfied,Yes,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Major problem,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,No,No,,,Family care responsibilities,,,,,,,Employment opportunities,Training opportunities,,,,Very satisfied,Neither satisfied nor dissatisfied,"Lack of response to emails, communication breakdown between building Maintenance, body Cor-operation & Housing First. Clarification of who is responsible for what.",Negative,HousingFirst - communication materials
Inner South,More than 10 years,Other,Migrant (not born in Australia),50-59,Yes ,Repairs and maintenance,,,,,Other,By phone,,,By email,,,Yes,,,Neither satisfied nor dissatisfied,Unsure,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,No,Yes,,,,,,Neither satisfied nor dissatisfied,Very satisfied,No,,,,,,,,,,,,,,Neither satisfied nor dissatisfied,Very satisfied,Very dissatisfied,Very satisfied,Very dissatisfied,Very satisfied,Very satisfied,Fairly satisfied,,Major problem,Major problem,Minor problem,Major problem,Minor problem,Minor problem,Major problem,,,Minor problem,Not a problem at all,No,No,,,,,,,,,,,,,,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,"Embarrass to have guest come over as some residents treat foyer sitting area as a recycle bin (shoes, clothing, etc) despite we’ve got reminding emails about it though still ignored. It makes really bad image like a low class for the property/building and cheap for the residents itself.",Negative,Neighbour issues/disputes
Inner South,3 to 5 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),60-69,Yes ,Repairs and maintenance,,,,,,By phone,,,By email,,,Yes,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Yes,Very satisfied,Very satisfied,No,No ,,,,,,,Very satisfied,Yes,Via email,,By phone,,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,No,,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,Major problem,Minor problem,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Minor problem,Minor problem,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Yes,Unsure,,,,,,,,Lack of interest,,Employment opportunities,Training opportunities,,Social activities,,Fairly satisfied,Very satisfied,"I have reported a leak in my bathroom for over a year, but still not fixed",Negative,Repairs - time
West,Less than a year,Other,Migrant (not born in Australia),40-49,Yes ,Repairs and maintenance,Neighbourhood issues,,,,,,,,By email,,,Unsure,,,Fairly dissatisfied,No,Fairly dissatisfied,Fairly dissatisfied,No,Yes,,,,,,Fairly dissatisfied,Neither satisfied nor dissatisfied,Yes,Via email,,,,,,,,,,Fairly dissatisfied,No,,Fairly dissatisfied,Neither satisfied nor dissatisfied,Fairly dissatisfied,,,,,,,,,,,,,,,,,,No,No,,,Family care responsibilities,,,,Language barrier,Lack of interest,Activities for children and young people,,,,,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,"I am very concerned and annoyed by the neighbours who have made the environment unsafe and tense for me and my children. Just because we use the government house, they disrespect and insult us.",Negative,Neighbour issues/disputes
East,3 to 5 years,Arabic,Migrant (not born in Australia),30-39,Yes ,Repairs and maintenance,,Rent,,Community development activity,,By phone,In person,,By email,,,Yes,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,No,No ,,,,,,,Neither satisfied nor dissatisfied,Yes,Via email,,By phone,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,No,,Fairly satisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,No,No,,,Family care responsibilities,,,,,,Activities for children and young people,,Training opportunities,,,,Very satisfied,Fairly satisfied,,,
